sample_id,label,selected_chunk_count,total_chunks,score_total,confidence,effectiveness,consistency,collaboration,target_probability
eraser-mr-hf-validation-0,0,8,30,1.9803779124424814,0.9648551344871521,0.02213388712928943,0.9600704288524645,0.033318461973575464,0.9648551344871521
eraser-mr-hf-validation-1,0,8,14,1.7302686011675383,0.7185943722724915,0.012924612782910683,0.9777841541509812,0.020965461961155007,0.7185943722724915
eraser-mr-hf-validation-10,0,8,25,1.988400400816062,0.9919379949569702,0.023903430639365286,0.9490789175033569,0.02348005771636963,0.9919379949569702
eraser-mr-hf-validation-100,1,8,32,1.9708593987948095,0.9845754504203796,0.020532727854956523,0.9543892632458736,0.011361957273599899,0.9845754504203796
eraser-mr-hf-validation-101,1,8,45,1.9368007215690324,0.977022647857666,0.02920615922176195,0.9241091012954712,0.006462813194133443,0.977022647857666
eraser-mr-hf-validation-102,1,8,45,1.9148616742976539,0.9908743500709534,0.0153817541127097,0.9059048834982445,0.002700686615746406,0.9908743500709534
eraser-mr-hf-validation-103,1,8,34,1.9741836174690879,0.9875683784484863,0.03024816357733362,0.948036789894104,0.008330285549163818,0.9875683784484863
eraser-mr-hf-validation-104,1,8,36,1.8515955881477226,0.9465966820716858,0.01439017079237459,0.8878188796151415,0.0027898556685209686,0.9465966820716858
eraser-mr-hf-validation-105,1,8,47,1.8671494578750818,0.968856155872345,0.012864589610263266,0.8819464304383283,0.00348228195414535,0.968856155872345
eraser-mr-hf-validation-106,1,8,32,1.9137087473978944,0.9830850958824158,0.01973956919812636,0.9042782187461853,0.006605863571166992,0.9830850958824158
eraser-mr-hf-validation-107,1,8,42,1.963377114722849,0.9669139981269836,0.04215229083274341,0.946344664039247,0.007966161723874987,0.9669139981269836
eraser-mr-hf-validation-108,1,8,42,1.8211589880231194,0.9046505093574524,0.01135134736679444,0.8954273275304959,0.00972980376837651,0.9046505093574524
eraser-mr-hf-validation-109,1,8,42,1.8386287098621308,0.8991214036941528,0.017584383571776496,0.9180491566658151,0.0038737659303862415,0.8991214036941528
eraser-mr-hf-validation-11,0,8,56,1.930437508051654,0.9971990585327148,0.01773351635672804,0.909140944480896,0.006363988681315047,0.9971990585327148
eraser-mr-hf-validation-110,1,8,35,1.858631726115316,0.9099069833755493,0.021630823993419313,0.9221808863986067,0.0049130323477406534,0.9099069833755493
eraser-mr-hf-validation-111,1,8,48,1.8910167235108237,0.9525741338729858,0.015658559200368294,0.9158743619918823,0.006909668445587158,0.9525741338729858
eraser-mr-hf-validation-112,1,8,55,1.9505928804639092,0.9830850958824158,0.02974522612125796,0.9323756098747253,0.005386948585510254,0.9830850958824158
eraser-mr-hf-validation-113,1,8,32,1.953173160978118,0.968856155872345,0.017394007091930064,0.9538616510547192,0.013061346959123532,0.968856155872345
eraser-mr-hf-validation-114,1,8,18,1.9626336644046636,0.9284088015556335,0.011580168572002947,0.9862145185470581,0.036430175729969094,0.9284088015556335
eraser-mr-hf-validation-115,1,8,31,1.9657377536308007,0.9820137619972229,0.027923107620797305,0.9420366814180233,0.01376420259475708,0.9820137619972229
eraser-mr-hf-validation-116,1,8,40,1.9381778305568953,0.9883127212524414,0.015077469651416542,0.9277054157608252,0.007082223892211914,0.9883127212524414
eraser-mr-hf-validation-117,1,8,54,1.9118381769468822,0.9724147319793701,0.03267598500246671,0.903389811515821,0.0033576484492243708,0.9724147319793701
